2010-08-03,46.01,47.8,44.53,46.3,16558813.0,756777728.0
2010-08-04,48.3,50.6,47.56,49.2,11094480.0,542041472.0
2010-08-05,48.6,49.64,47.88,49.22,6776008.0,330006464.0
2010-08-06,49.96,52.5,49.9,50.6,6906679.0,352389088.0
2010-08-09,50.69,53.5,50.69,53.25,6001266.0,314934528.0
2010-08-10,54.8,57.7,53.9,55.79,5254305.0,292879776.0
2010-08-11,54.6,57.18,54.18,56.3,4405775.0,244787216.0
2010-08-12,55.5,55.85,50.89,52.0,5203617.0,278529760.0
2010-08-13,52.04,53.1,50.3,52.8,3431365.0,178400768.0
2010-08-16,52.6,54.05,51.8,53.5,2850020.0,151623776.0
2010-08-17,53.15,56.16,53.12,55.54,3014515.0,164976464.0
2010-08-18,55.1,55.63,53.63,54.3,2997820.0,163149840.0
2010-08-19,54.45,56.1,54.4,54.62,2076432.0,114412056.0
2010-08-20,53.6,54.8,51.6,52.56,2488116.0,131998160.0
2010-08-23,52.0,52.84,50.48,50.82,1795215.0,92245768.0
2010-08-24,50.82,53.45,50.57,52.44,1558792.0,81593040.0
2010-08-25,50.8,51.98,50.67,50.85,1250303.0,63895656.0
2010-08-26,51.17,52.17,50.01,52.11,1313745.0,67498272.0
2010-08-27,51.95,52.85,50.9,52.84,1494673.0,77638840.0
2010-08-30,52.75,54.68,52.5,54.56,1537195.0,83282176.0
2010-08-31,54.05,58.59,53.01,57.56,2504447.0,138485648.0
2010-09-01,57.2,59.33,55.55,56.5,2445863.0,139756272.0
2010-09-02,57.11,59.83,56.15,59.0,2491121.0,145772160.0
2010-09-03,58.88,59.6,57.78,58.73,1402506.0,82343712.0
2010-09-06,58.73,59.4,55.07,55.68,1653918.0,93300920.0
2010-09-07,55.31,57.12,54.74,56.69,959706.0,53817852.0
2010-09-08,56.47,56.6,55.01,55.56,1039764.0,57830848.0
2010-09-09,55.35,55.87,54.52,54.52,929211.0,51142384.0
2010-09-10,54.04,55.4,52.5,55.2,1118240.0,60145116.0
2010-09-13,54.9,55.95,54.3,55.59,798399.0,44257780.0
2010-09-14,56.03,56.33,55.34,56.05,706693.0,39556988.0
2010-09-15,56.06,56.1,53.05,53.13,843962.0,46056692.0
2010-09-16,53.0,53.77,51.98,53.1,541498.0,28511660.0
2010-09-17,53.0,55.29,52.6,53.72,816403.0,44108068.0
